Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
CommandCenter_Login,Chrome 120.0.0.0,This test suite is for regression testing of watsons users in command center,,2023-12-19 10:11:02,2023-12-19 10:11:53,51.339s,PASSED
,,,,,,,
Test Cases/Sprint 1/CommandCenter_LoginTC/TC001_LoginValidCredentials_SP,Chrome 120.0.0.0,,,2023-12-19 10:11:02,2023-12-19 10:11:16,14.017s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-19 10:11:02,2023-12-19 10:11:05,2.743s,PASSED
navigateToUrl(URL_commandCenter),Chrome 120.0.0.0,,,2023-12-19 10:11:05,2023-12-19 10:11:06,1.478s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_WATSONS COMMAND CENTER_username""), watsons_username)",Chrome 120.0.0.0,,,2023-12-19 10:11:06,2023-12-19 10:11:07,1.040s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_WATSONS COMMAND CENTER_password""), watsons_password)",Chrome 120.0.0.0,,,2023-12-19 10:11:07,2023-12-19 10:11:08,0.489s,PASSED
"click(findTestObject(""Object Repository/Page_Login/btn_WATSONS COMMAND CENTER_login""))",Chrome 120.0.0.0,,,2023-12-19 10:11:08,2023-12-19 10:11:09,0.704s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Application List/titlePage_WATSONS COMMAND CENTER""), ""WATSONS COMMAND CENTER"")",Chrome 120.0.0.0,,,2023-12-19 10:11:09,2023-12-19 10:11:10,1.307s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Application List/titleHeader_Select Application to access""), ""Select Application to access"")",Chrome 120.0.0.0,,,2023-12-19 10:11:10,2023-12-19 10:11:10,0.443s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Application List/container_Non-Trade Vendor Portal""), 0)",Chrome 120.0.0.0,,,2023-12-19 10:11:10,2023-12-19 10:11:11,0.404s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Application List/containerLabel_Non-Trade Vendor Portal""), ""Non-Trade Vendor Portal"")",Chrome 120.0.0.0,,,2023-12-19 10:11:11,2023-12-19 10:11:11,0.378s,PASSED
"click(findTestObject(""Object Repository/Page_Application List/containerLabel_Non-Trade Vendor Portal""))",Chrome 120.0.0.0,,,2023-12-19 10:11:11,2023-12-19 10:11:12,0.802s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/titlePage_Dashboard""), ""Dashboard"")",Chrome 120.0.0.0,,,2023-12-19 10:11:12,2023-12-19 10:11:16,3.953s,PASSED
,,,,,,,
Test Cases/Sprint 1/CommandCenter_LoginTC/TC002_LoginValidCredentials_AP,Chrome 120.0.0.0,,,2023-12-19 10:11:16,2023-12-19 10:11:29,13.544s,PASSED
"openBrowser("""")",Chrome 120.0.0.0,,,2023-12-19 10:11:16,2023-12-19 10:11:18,1.975s,PASSED
navigateToUrl(URL_commandCenter),Chrome 120.0.0.0,,,2023-12-19 10:11:18,2023-12-19 10:11:19,1.190s,PASSED
"setText(findTestObject(""Object Repository/Page_Login/input_WATSONS COMMAND CENTER_username""), AP_username)",Chrome 120.0.0.0,,,2023-12-19 10:11:19,2023-12-19 10:11:20,0.887s,PASSED
"setEncryptedText(findTestObject(""Object Repository/Page_Login/input_WATSONS COMMAND CENTER_password""), AP_password)",Chrome 120.0.0.0,,,2023-12-19 10:11:20,2023-12-19 10:11:21,0.489s,PASSED
"click(findTestObject(""Object Repository/Page_Login/btn_WATSONS COMMAND CENTER_login""))",Chrome 120.0.0.0,,,2023-12-19 10:11:21,2023-12-19 10:11:22,1.409s,PASSED
