Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
Dashboad_Regression,Chrome 120.0.0.0,This test suite is for regression testing of dashboard for different user role,,2023-12-28 12:55:46,2023-12-28 13:06:31,10m - 44.402s,PASSED
,,,,,,,
Test Cases/Sprint 1/Dashboard_TC/TC001_SP_Dashboard,Chrome 120.0.0.0,,,2023-12-28 12:55:47,2023-12-28 12:56:34,47.911s,PASSED
"callTestCase(findTestCase(""Sprint 1/CommandCenter_LoginTC/TC001_LoginValidCredentials_SP""), [:], STOP_ON_FAILURE)",Chrome 120.0.0.0,,,2023-12-28 12:55:47,2023-12-28 12:56:17,29.761s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Watsons Command Center""), ""Watsons Command Center"")",Chrome 120.0.0.0,,,2023-12-28 12:56:17,2023-12-28 12:56:17,0.420s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Home""), ""Home"")",Chrome 120.0.0.0,,,2023-12-28 12:56:17,2023-12-28 12:56:18,0.435s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Reports""), ""Reports"")",Chrome 120.0.0.0,,,2023-12-28 12:56:18,2023-12-28 12:56:18,0.428s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Admin""), ""Admin"")",Chrome 120.0.0.0,,,2023-12-28 12:56:18,2023-12-28 12:56:19,0.424s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Ticket""), ""Ticket"")",Chrome 120.0.0.0,,,2023-12-28 12:56:19,2023-12-28 12:56:19,0.470s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Upload""), ""Upload"")",Chrome 120.0.0.0,,,2023-12-28 12:56:19,2023-12-28 12:56:19,0.415s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/SuperAdminMenu/menu_Audit Trail""), ""Audit Trail"")",Chrome 120.0.0.0,,,2023-12-28 12:56:19,2023-12-28 12:56:20,0.423s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/container_Form2307""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:20,2023-12-28 12:56:20,0.400s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/container_RemittanceAdvice""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:20,2023-12-28 12:56:21,0.399s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/container_BulletinMemo""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:21,2023-12-28 12:56:21,0.415s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/container_Tickets""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:21,2023-12-28 12:56:21,0.399s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/counter_Form2307""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:21,2023-12-28 12:56:22,0.414s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/icon_Form2307""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:22,2023-12-28 12:56:22,0.426s,PASSED
"takeElementScreenshot(findTestObject(""Object Repository/Page_Homescreen/icon_Form2307""))",Chrome 120.0.0.0,,,2023-12-28 12:56:22,2023-12-28 12:56:23,1.097s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/label_UnreadForm2307""), ""Unread"")",Chrome 120.0.0.0,,,2023-12-28 12:56:23,2023-12-28 12:56:24,0.459s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/label_Form 2307""), ""Form 2307"")",Chrome 120.0.0.0,,,2023-12-28 12:56:24,2023-12-28 12:56:24,0.437s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/buttonForm2307_View All""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:24,2023-12-28 12:56:25,0.414s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/counter_RemittanceAdvice""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:25,2023-12-28 12:56:25,0.421s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/icon_RemittanceAdvice""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:25,2023-12-28 12:56:26,0.416s,PASSED
"takeElementScreenshot(findTestObject(""Object Repository/Page_Homescreen/icon_RemittanceAdvice""))",Chrome 120.0.0.0,,,2023-12-28 12:56:26,2023-12-28 12:56:26,0.838s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/label_UnreadRA""), ""Unread"")",Chrome 120.0.0.0,,,2023-12-28 12:56:26,2023-12-28 12:56:27,0.428s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/label_Remittance Advice""), ""Remittance Advice"")",Chrome 120.0.0.0,,,2023-12-28 12:56:27,2023-12-28 12:56:27,0.421s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/button_RAView All""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:27,2023-12-28 12:56:28,0.435s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/counter_BulletinMemo""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:28,2023-12-28 12:56:28,0.504s,PASSED
"verifyElementPresent(findTestObject(""Object Repository/Page_Homescreen/icon_BulletinMemo""), 0)",Chrome 120.0.0.0,,,2023-12-28 12:56:28,2023-12-28 12:56:29,0.434s,PASSED
"takeElementScreenshot(findTestObject(""Object Repository/Page_Homescreen/icon_BulletinMemo""))",Chrome 120.0.0.0,,,2023-12-28 12:56:29,2023-12-28 12:56:29,0.836s,PASSED
"verifyElementText(findTestObject(""Object Repository/Page_Homescreen/label_PublishedBM""), ""Published"")",Chrome 120.0.0.0,,,2023-12-28 12:56:29,2023-12-28 12:56:30,0.431s,PASSED
